estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.6538461538461539,0.48,0.8148148148148148,25.0
"P_active|DROP,N",0.11538461538461539,0.0,0.24,25.0
"P_active|DROP,V",0.5384615384615384,0.35714285714285715,0.72,25.0
"P_active|RETRACT,D",0.5,0.2,0.8,10.0
"P_active|RETRACT,N",0.1,0.0,0.3,10.0
"P_active|RETRACT,V",0.1,0.0,0.3,10.0
"P_active|REPEAT,D",0.9,0.75,1.0,20.0
"P_active|REPEAT,N",0.65,0.45,0.85,20.0
"P_active|REPEAT,V",0.8,0.6,0.95,20.0
"P_active|DEPEND,D",0.8979591836734694,0.7857142857142857,0.9807692307692307,33.0
"P_active|DEPEND,N",0.6326530612244898,0.4888888888888889,0.7777777777777778,33.0
"P_active|DEPEND,V",0.8367346938775511,0.7307692307692307,0.9245283018867925,33.0
