s1,a2,s2,count,n,rate
DROP,D,DROP,8,26,0.3076923076923077
DROP,D,RETRACT,1,26,0.038461538461538464
DROP,D,REPEAT,0,26,0.0
DROP,D,DEPEND,17,26,0.6538461538461539
DROP,N,DROP,23,26,0.8846153846153846
DROP,N,RETRACT,0,26,0.0
DROP,N,REPEAT,1,26,0.038461538461538464
DROP,N,DEPEND,2,26,0.07692307692307693
DROP,V,DROP,2,26,0.07692307692307693
DROP,V,RETRACT,10,26,0.38461538461538464
DROP,V,REPEAT,7,26,0.2692307692307692
DROP,V,DEPEND,7,26,0.2692307692307692
RETRACT,D,DROP,1,10,0.1
RETRACT,D,RETRACT,4,10,0.4
RETRACT,D,REPEAT,0,10,0.0
RETRACT,D,DEPEND,5,10,0.5
RETRACT,N,DROP,8,10,0.8
RETRACT,N,RETRACT,1,10,0.1
RETRACT,N,REPEAT,0,10,0.0
RETRACT,N,DEPEND,1,10,0.1
RETRACT,V,DROP,3,10,0.3
RETRACT,V,RETRACT,6,10,0.6
RETRACT,V,REPEAT,1,10,0.1
RETRACT,V,DEPEND,0,10,0.0
REPEAT,D,DROP,2,20,0.1
REPEAT,D,RETRACT,0,20,0.0
REPEAT,D,REPEAT,2,20,0.1
REPEAT,D,DEPEND,16,20,0.8
REPEAT,N,DROP,7,20,0.35
REPEAT,N,RETRACT,0,20,0.0
REPEAT,N,REPEAT,5,20,0.25
REPEAT,N,DEPEND,8,20,0.4
REPEAT,V,DROP,1,20,0.05
REPEAT,V,RETRACT,3,20,0.15
REPEAT,V,REPEAT,13,20,0.65
REPEAT,V,DEPEND,3,20,0.15
DEPEND,D,DROP,5,49,0.10204081632653061
DEPEND,D,RETRACT,0,49,0.0
DEPEND,D,REPEAT,1,49,0.02040816326530612
DEPEND,D,DEPEND,43,49,0.8775510204081632
DEPEND,N,DROP,18,49,0.3673469387755102
DEPEND,N,RETRACT,0,49,0.0
DEPEND,N,REPEAT,3,49,0.061224489795918366
DEPEND,N,DEPEND,28,49,0.5714285714285714
DEPEND,V,DROP,2,49,0.04081632653061224
DEPEND,V,RETRACT,6,49,0.12244897959183673
DEPEND,V,REPEAT,18,49,0.3673469387755102
DEPEND,V,DEPEND,23,49,0.46938775510204084
