estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.675,0.5128205128205128,0.825,36.0
"P_active|DROP,N",0.125,0.025,0.23684210526315788,36.0
"P_active|DROP,V",0.775,0.6341463414634146,0.9,36.0
"P_active|RETRACT,D",0.375,0.14285714285714285,0.5789473684210527,12.0
"P_active|RETRACT,N",0.0625,0.0,0.1875,12.0
"P_active|RETRACT,V",0.0,0.0,0.0,12.0
"P_active|REPEAT,D",0.8,0.6666666666666666,0.9166666666666666,30.0
"P_active|REPEAT,N",0.5142857142857142,0.35294117647058826,0.6666666666666666,30.0
"P_active|REPEAT,V",0.9142857142857143,0.8108108108108109,1.0,30.0
"P_active|DEPEND,D",0.8378378378378378,0.7435897435897436,0.9178082191780822,51.0
"P_active|DEPEND,N",0.6486486486486487,0.5352112676056338,0.7567567567567568,51.0
"P_active|DEPEND,V",0.8783783783783784,0.7945205479452054,0.9466666666666667,51.0
