s1,a2,s2,count,n,rate
DROP,D,DROP,12,40,0.3
DROP,D,RETRACT,1,40,0.025
DROP,D,REPEAT,0,40,0.0
DROP,D,DEPEND,27,40,0.675
DROP,N,DROP,35,40,0.875
DROP,N,RETRACT,0,40,0.0
DROP,N,REPEAT,4,40,0.1
DROP,N,DEPEND,1,40,0.025
DROP,V,DROP,2,40,0.05
DROP,V,RETRACT,7,40,0.175
DROP,V,REPEAT,19,40,0.475
DROP,V,DEPEND,12,40,0.3
RETRACT,D,DROP,5,16,0.3125
RETRACT,D,RETRACT,5,16,0.3125
RETRACT,D,REPEAT,0,16,0.0
RETRACT,D,DEPEND,6,16,0.375
RETRACT,N,DROP,13,16,0.8125
RETRACT,N,RETRACT,2,16,0.125
RETRACT,N,REPEAT,0,16,0.0
RETRACT,N,DEPEND,1,16,0.0625
RETRACT,V,DROP,1,16,0.0625
RETRACT,V,RETRACT,15,16,0.9375
RETRACT,V,REPEAT,0,16,0.0
RETRACT,V,DEPEND,0,16,0.0
REPEAT,D,DROP,7,35,0.2
REPEAT,D,RETRACT,0,35,0.0
REPEAT,D,REPEAT,5,35,0.14285714285714285
REPEAT,D,DEPEND,23,35,0.6571428571428571
REPEAT,N,DROP,17,35,0.4857142857142857
REPEAT,N,RETRACT,0,35,0.0
REPEAT,N,REPEAT,14,35,0.4
REPEAT,N,DEPEND,4,35,0.11428571428571428
REPEAT,V,DROP,3,35,0.08571428571428572
REPEAT,V,RETRACT,0,35,0.0
REPEAT,V,REPEAT,27,35,0.7714285714285715
REPEAT,V,DEPEND,5,35,0.14285714285714285
DEPEND,D,DROP,12,74,0.16216216216216217
DEPEND,D,RETRACT,0,74,0.0
DEPEND,D,REPEAT,2,74,0.02702702702702703
DEPEND,D,DEPEND,60,74,0.8108108108108109
DEPEND,N,DROP,26,74,0.35135135135135137
DEPEND,N,RETRACT,0,74,0.0
DEPEND,N,REPEAT,10,74,0.13513513513513514
DEPEND,N,DEPEND,38,74,0.5135135135135135
DEPEND,V,DROP,1,74,0.013513513513513514
DEPEND,V,RETRACT,8,74,0.10810810810810811
DEPEND,V,REPEAT,32,74,0.43243243243243246
DEPEND,V,DEPEND,33,74,0.44594594594594594
