estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.6326530612244898,0.49056603773584906,0.7659574468085106,42.0
"P_active|DROP,N",0.14285714285714285,0.0425531914893617,0.26,42.0
"P_active|DROP,V",0.8163265306122449,0.6808510638297872,0.9361702127659575,42.0
"P_active|RETRACT,D",0.3157894736842105,0.11764705882352941,0.5,17.0
"P_active|RETRACT,N",0.10526315789473684,0.0,0.2777777777777778,17.0
"P_active|RETRACT,V",0.10526315789473684,0.0,0.2777777777777778,17.0
"P_active|REPEAT,D",0.8901098901098901,0.8260869565217391,0.945054945054945,62.0
"P_active|REPEAT,N",0.5934065934065934,0.4895833333333333,0.6976744186046512,62.0
"P_active|REPEAT,V",0.7142857142857143,0.6145833333333334,0.8064516129032258,62.0
"P_active|DEPEND,D",0.8421052631578947,0.7582417582417582,0.912621359223301,67.0
"P_active|DEPEND,N",0.5789473684210527,0.47368421052631576,0.6836734693877551,67.0
"P_active|DEPEND,V",0.8,0.7070707070707071,0.8804347826086957,67.0
