s1,a2,s2,count,n,rate
DROP,D,DROP,16,49,0.32653061224489793
DROP,D,RETRACT,2,49,0.04081632653061224
DROP,D,REPEAT,4,49,0.08163265306122448
DROP,D,DEPEND,27,49,0.5510204081632653
DROP,N,DROP,42,49,0.8571428571428571
DROP,N,RETRACT,0,49,0.0
DROP,N,REPEAT,3,49,0.061224489795918366
DROP,N,DEPEND,4,49,0.08163265306122448
DROP,V,DROP,2,49,0.04081632653061224
DROP,V,RETRACT,7,49,0.14285714285714285
DROP,V,REPEAT,33,49,0.673469387755102
DROP,V,DEPEND,7,49,0.14285714285714285
RETRACT,D,DROP,5,19,0.2631578947368421
RETRACT,D,RETRACT,8,19,0.42105263157894735
RETRACT,D,REPEAT,0,19,0.0
RETRACT,D,DEPEND,6,19,0.3157894736842105
RETRACT,N,DROP,11,19,0.5789473684210527
RETRACT,N,RETRACT,6,19,0.3157894736842105
RETRACT,N,REPEAT,2,19,0.10526315789473684
RETRACT,N,DEPEND,0,19,0.0
RETRACT,V,DROP,7,19,0.3684210526315789
RETRACT,V,RETRACT,10,19,0.5263157894736842
RETRACT,V,REPEAT,2,19,0.10526315789473684
RETRACT,V,DEPEND,0,19,0.0
REPEAT,D,DROP,9,91,0.0989010989010989
REPEAT,D,RETRACT,1,91,0.01098901098901099
REPEAT,D,REPEAT,15,91,0.16483516483516483
REPEAT,D,DEPEND,66,91,0.7252747252747253
REPEAT,N,DROP,37,91,0.4065934065934066
REPEAT,N,RETRACT,0,91,0.0
REPEAT,N,REPEAT,42,91,0.46153846153846156
REPEAT,N,DEPEND,12,91,0.13186813186813187
REPEAT,V,DROP,15,91,0.16483516483516483
REPEAT,V,RETRACT,11,91,0.12087912087912088
REPEAT,V,REPEAT,54,91,0.5934065934065934
REPEAT,V,DEPEND,11,91,0.12087912087912088
DEPEND,D,DROP,14,95,0.14736842105263157
DEPEND,D,RETRACT,1,95,0.010526315789473684
DEPEND,D,REPEAT,13,95,0.1368421052631579
DEPEND,D,DEPEND,67,95,0.7052631578947368
DEPEND,N,DROP,39,95,0.4105263157894737
DEPEND,N,RETRACT,1,95,0.010526315789473684
DEPEND,N,REPEAT,17,95,0.17894736842105263
DEPEND,N,DEPEND,38,95,0.4
DEPEND,V,DROP,7,95,0.07368421052631578
DEPEND,V,RETRACT,12,95,0.12631578947368421
DEPEND,V,REPEAT,45,95,0.47368421052631576
DEPEND,V,DEPEND,31,95,0.3263157894736842
