estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.7818181818181819,0.6610169491525424,0.9038461538461539,49.0
"P_active|DROP,N",0.14545454545454545,0.05660377358490566,0.24528301886792453,49.0
"P_active|DROP,V",0.6909090909090909,0.5660377358490566,0.8235294117647058,49.0
"P_active|RETRACT,D",0.5384615384615384,0.3076923076923077,0.7692307692307693,13.0
"P_active|RETRACT,N",0.0,0.0,0.0,13.0
"P_active|RETRACT,V",0.15384615384615385,0.0,0.38461538461538464,13.0
"P_active|REPEAT,D",0.9682539682539683,0.921875,1.0,49.0
"P_active|REPEAT,N",0.4603174603174603,0.34375,0.578125,49.0
"P_active|REPEAT,V",0.8888888888888888,0.8035714285714286,0.9558823529411765,49.0
"P_active|DEPEND,D",0.8737864077669902,0.8,0.9351851851851852,68.0
"P_active|DEPEND,N",0.7184466019417476,0.6238532110091743,0.8061224489795918,68.0
"P_active|DEPEND,V",0.8543689320388349,0.7777777777777778,0.9207920792079208,68.0
