s1,a2,s2,count,n,rate
DROP,D,DROP,12,55,0.21818181818181817
DROP,D,RETRACT,0,55,0.0
DROP,D,REPEAT,5,55,0.09090909090909091
DROP,D,DEPEND,38,55,0.6909090909090909
DROP,N,DROP,47,55,0.8545454545454545
DROP,N,RETRACT,0,55,0.0
DROP,N,REPEAT,6,55,0.10909090909090909
DROP,N,DEPEND,2,55,0.03636363636363636
DROP,V,DROP,8,55,0.14545454545454545
DROP,V,RETRACT,9,55,0.16363636363636364
DROP,V,REPEAT,20,55,0.36363636363636365
DROP,V,DEPEND,18,55,0.32727272727272727
RETRACT,D,DROP,4,13,0.3076923076923077
RETRACT,D,RETRACT,2,13,0.15384615384615385
RETRACT,D,REPEAT,1,13,0.07692307692307693
RETRACT,D,DEPEND,6,13,0.46153846153846156
RETRACT,N,DROP,9,13,0.6923076923076923
RETRACT,N,RETRACT,4,13,0.3076923076923077
RETRACT,N,REPEAT,0,13,0.0
RETRACT,N,DEPEND,0,13,0.0
RETRACT,V,DROP,3,13,0.23076923076923078
RETRACT,V,RETRACT,8,13,0.6153846153846154
RETRACT,V,REPEAT,1,13,0.07692307692307693
RETRACT,V,DEPEND,1,13,0.07692307692307693
REPEAT,D,DROP,2,63,0.031746031746031744
REPEAT,D,RETRACT,0,63,0.0
REPEAT,D,REPEAT,5,63,0.07936507936507936
REPEAT,D,DEPEND,56,63,0.8888888888888888
REPEAT,N,DROP,34,63,0.5396825396825397
REPEAT,N,RETRACT,0,63,0.0
REPEAT,N,REPEAT,15,63,0.23809523809523808
REPEAT,N,DEPEND,14,63,0.2222222222222222
REPEAT,V,DROP,1,63,0.015873015873015872
REPEAT,V,RETRACT,6,63,0.09523809523809523
REPEAT,V,REPEAT,35,63,0.5555555555555556
REPEAT,V,DEPEND,21,63,0.3333333333333333
DEPEND,D,DROP,13,103,0.1262135922330097
DEPEND,D,RETRACT,0,103,0.0
DEPEND,D,REPEAT,2,103,0.019417475728155338
DEPEND,D,DEPEND,88,103,0.8543689320388349
DEPEND,N,DROP,29,103,0.2815533980582524
DEPEND,N,RETRACT,0,103,0.0
DEPEND,N,REPEAT,10,103,0.0970873786407767
DEPEND,N,DEPEND,64,103,0.6213592233009708
DEPEND,V,DROP,10,103,0.0970873786407767
DEPEND,V,RETRACT,5,103,0.04854368932038835
DEPEND,V,REPEAT,24,103,0.23300970873786409
DEPEND,V,DEPEND,64,103,0.6213592233009708
