estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",0.8974358974358975,0.8048780487804879,0.9743589743589743,36.0
"P_active|DROP,N",0.1794871794871795,0.07317073170731707,0.3076923076923077,36.0
"P_active|DROP,V",0.4358974358974359,0.2857142857142857,0.5945945945945946,36.0
"P_active|RETRACT,D",0.5483870967741935,0.3870967741935484,0.7096774193548387,31.0
"P_active|RETRACT,N",0.12903225806451613,0.03225806451612903,0.25806451612903225,31.0
"P_active|RETRACT,V",0.1935483870967742,0.06451612903225806,0.3548387096774194,31.0
"P_active|REPEAT,D",0.9696969696969697,0.896551724137931,1.0,27.0
"P_active|REPEAT,N",0.5757575757575758,0.4117647058823529,0.7352941176470589,27.0
"P_active|REPEAT,V",0.7272727272727273,0.5714285714285714,0.8823529411764706,27.0
"P_active|DEPEND,D",0.9387755102040817,0.8723404255319149,0.9821428571428571,65.0
"P_active|DEPEND,N",0.5408163265306123,0.4166666666666667,0.6568627450980392,65.0
"P_active|DEPEND,V",0.6632653061224489,0.5666666666666667,0.7575757575757576,65.0
