s1,a2,s2,count,n,rate
DROP,D,DROP,3,39,0.07692307692307693
DROP,D,RETRACT,1,39,0.02564102564102564
DROP,D,REPEAT,2,39,0.05128205128205128
DROP,D,DEPEND,33,39,0.8461538461538461
DROP,N,DROP,32,39,0.8205128205128205
DROP,N,RETRACT,0,39,0.0
DROP,N,REPEAT,5,39,0.1282051282051282
DROP,N,DEPEND,2,39,0.05128205128205128
DROP,V,DROP,4,39,0.10256410256410256
DROP,V,RETRACT,18,39,0.46153846153846156
DROP,V,REPEAT,14,39,0.358974358974359
DROP,V,DEPEND,3,39,0.07692307692307693
RETRACT,D,DROP,10,31,0.3225806451612903
RETRACT,D,RETRACT,4,31,0.12903225806451613
RETRACT,D,REPEAT,0,31,0.0
RETRACT,D,DEPEND,17,31,0.5483870967741935
RETRACT,N,DROP,25,31,0.8064516129032258
RETRACT,N,RETRACT,2,31,0.06451612903225806
RETRACT,N,REPEAT,2,31,0.06451612903225806
RETRACT,N,DEPEND,2,31,0.06451612903225806
RETRACT,V,DROP,7,31,0.22580645161290322
RETRACT,V,RETRACT,18,31,0.5806451612903226
RETRACT,V,REPEAT,4,31,0.12903225806451613
RETRACT,V,DEPEND,2,31,0.06451612903225806
REPEAT,D,DROP,1,33,0.030303030303030304
REPEAT,D,RETRACT,0,33,0.0
REPEAT,D,REPEAT,4,33,0.12121212121212122
REPEAT,D,DEPEND,28,33,0.8484848484848485
REPEAT,N,DROP,14,33,0.42424242424242425
REPEAT,N,RETRACT,0,33,0.0
REPEAT,N,REPEAT,11,33,0.3333333333333333
REPEAT,N,DEPEND,8,33,0.24242424242424243
REPEAT,V,DROP,5,33,0.15151515151515152
REPEAT,V,RETRACT,4,33,0.12121212121212122
REPEAT,V,REPEAT,14,33,0.42424242424242425
REPEAT,V,DEPEND,10,33,0.30303030303030304
DEPEND,D,DROP,6,98,0.061224489795918366
DEPEND,D,RETRACT,0,98,0.0
DEPEND,D,REPEAT,2,98,0.02040816326530612
DEPEND,D,DEPEND,90,98,0.9183673469387755
DEPEND,N,DROP,45,98,0.45918367346938777
DEPEND,N,RETRACT,0,98,0.0
DEPEND,N,REPEAT,9,98,0.09183673469387756
DEPEND,N,DEPEND,44,98,0.4489795918367347
DEPEND,V,DROP,8,98,0.08163265306122448
DEPEND,V,RETRACT,25,98,0.25510204081632654
DEPEND,V,REPEAT,19,98,0.19387755102040816
DEPEND,V,DEPEND,46,98,0.46938775510204084
