estimand,mean,ci_low,ci_high,n_seeds
"P_active|DROP,D",1.0,1.0,1.0,31.0
"P_active|DROP,N",0.1935483870967742,0.06451612903225806,0.3225806451612903,31.0
"P_active|DROP,V",0.7741935483870968,0.6129032258064516,0.9032258064516129,31.0
"P_active|RETRACT,D",0.7272727272727273,0.45454545454545453,1.0,11.0
"P_active|RETRACT,N",0.36363636363636365,0.09090909090909091,0.6363636363636364,11.0
"P_active|RETRACT,V",0.2727272727272727,0.0,0.5454545454545454,11.0
"P_active|REPEAT,D",0.9622641509433962,0.9107142857142857,1.0,41.0
"P_active|REPEAT,N",0.660377358490566,0.5370370370370371,0.7777777777777778,41.0
"P_active|REPEAT,V",0.8301886792452831,0.6964285714285714,0.9411764705882353,41.0
"P_active|DEPEND,D",0.9818181818181818,0.9433962264150944,1.0,44.0
"P_active|DEPEND,N",0.7272727272727273,0.5892857142857143,0.85,44.0
"P_active|DEPEND,V",0.8545454545454545,0.7627118644067796,0.9423076923076923,44.0
