s1,a2,s2,count,n,rate
DROP,D,DROP,0,31,0.0
DROP,D,RETRACT,0,31,0.0
DROP,D,REPEAT,0,31,0.0
DROP,D,DEPEND,31,31,1.0
DROP,N,DROP,25,31,0.8064516129032258
DROP,N,RETRACT,0,31,0.0
DROP,N,REPEAT,3,31,0.0967741935483871
DROP,N,DEPEND,3,31,0.0967741935483871
DROP,V,DROP,1,31,0.03225806451612903
DROP,V,RETRACT,6,31,0.1935483870967742
DROP,V,REPEAT,20,31,0.6451612903225806
DROP,V,DEPEND,4,31,0.12903225806451613
RETRACT,D,DROP,1,11,0.09090909090909091
RETRACT,D,RETRACT,2,11,0.18181818181818182
RETRACT,D,REPEAT,2,11,0.18181818181818182
RETRACT,D,DEPEND,6,11,0.5454545454545454
RETRACT,N,DROP,6,11,0.5454545454545454
RETRACT,N,RETRACT,1,11,0.09090909090909091
RETRACT,N,REPEAT,2,11,0.18181818181818182
RETRACT,N,DEPEND,2,11,0.18181818181818182
RETRACT,V,DROP,3,11,0.2727272727272727
RETRACT,V,RETRACT,5,11,0.45454545454545453
RETRACT,V,REPEAT,2,11,0.18181818181818182
RETRACT,V,DEPEND,1,11,0.09090909090909091
REPEAT,D,DROP,1,53,0.018867924528301886
REPEAT,D,RETRACT,1,53,0.018867924528301886
REPEAT,D,REPEAT,7,53,0.1320754716981132
REPEAT,D,DEPEND,44,53,0.8301886792452831
REPEAT,N,DROP,18,53,0.33962264150943394
REPEAT,N,RETRACT,0,53,0.0
REPEAT,N,REPEAT,20,53,0.37735849056603776
REPEAT,N,DEPEND,15,53,0.2830188679245283
REPEAT,V,DROP,5,53,0.09433962264150944
REPEAT,V,RETRACT,4,53,0.07547169811320754
REPEAT,V,REPEAT,33,53,0.6226415094339622
REPEAT,V,DEPEND,11,53,0.20754716981132076
DEPEND,D,DROP,1,55,0.01818181818181818
DEPEND,D,RETRACT,0,55,0.0
DEPEND,D,REPEAT,2,55,0.03636363636363636
DEPEND,D,DEPEND,52,55,0.9454545454545454
DEPEND,N,DROP,15,55,0.2727272727272727
DEPEND,N,RETRACT,0,55,0.0
DEPEND,N,REPEAT,9,55,0.16363636363636364
DEPEND,N,DEPEND,31,55,0.5636363636363636
DEPEND,V,DROP,4,55,0.07272727272727272
DEPEND,V,RETRACT,4,55,0.07272727272727272
DEPEND,V,REPEAT,21,55,0.38181818181818183
DEPEND,V,DEPEND,26,55,0.4727272727272727
