s1,a2,s2,count,n,rate
DROP,D,DROP,0,0,0.0
DROP,D,RETRACT,0,0,0.0
DROP,D,REPEAT,0,0,0.0
DROP,D,DEPEND,0,0,0.0
DROP,N,DROP,0,0,0.0
DROP,N,RETRACT,0,0,0.0
DROP,N,REPEAT,0,0,0.0
DROP,N,DEPEND,0,0,0.0
DROP,V,DROP,0,0,0.0
DROP,V,RETRACT,0,0,0.0
DROP,V,REPEAT,0,0,0.0
DROP,V,DEPEND,0,0,0.0
RETRACT,D,DROP,0,0,0.0
RETRACT,D,RETRACT,0,0,0.0
RETRACT,D,REPEAT,0,0,0.0
RETRACT,D,DEPEND,0,0,0.0
RETRACT,N,DROP,0,0,0.0
RETRACT,N,RETRACT,0,0,0.0
RETRACT,N,REPEAT,0,0,0.0
RETRACT,N,DEPEND,0,0,0.0
RETRACT,V,DROP,0,0,0.0
RETRACT,V,RETRACT,0,0,0.0
RETRACT,V,REPEAT,0,0,0.0
RETRACT,V,DEPEND,0,0,0.0
REPEAT,D,DROP,0,1,0.0
REPEAT,D,RETRACT,0,1,0.0
REPEAT,D,REPEAT,0,1,0.0
REPEAT,D,DEPEND,1,1,1.0
REPEAT,N,DROP,0,1,0.0
REPEAT,N,RETRACT,0,1,0.0
REPEAT,N,REPEAT,0,1,0.0
REPEAT,N,DEPEND,1,1,1.0
REPEAT,V,DROP,0,1,0.0
REPEAT,V,RETRACT,0,1,0.0
REPEAT,V,REPEAT,0,1,0.0
REPEAT,V,DEPEND,1,1,1.0
DEPEND,D,DROP,1,5,0.2
DEPEND,D,RETRACT,0,5,0.0
DEPEND,D,REPEAT,0,5,0.0
DEPEND,D,DEPEND,4,5,0.8
DEPEND,N,DROP,1,5,0.2
DEPEND,N,RETRACT,0,5,0.0
DEPEND,N,REPEAT,1,5,0.2
DEPEND,N,DEPEND,3,5,0.6
DEPEND,V,DROP,1,5,0.2
DEPEND,V,RETRACT,0,5,0.0
DEPEND,V,REPEAT,0,5,0.0
DEPEND,V,DEPEND,4,5,0.8
